# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: cncui.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   82328293   000002a4   x05_t0     035f0000
              37   N   000002a4   c80002ab   000002a8   x05_t0     035ef823
              38   N   000002a8   c8001eb7   000002ac   x05_t0     c8000823
              39   N   000002ac   823e8e93   000002b0   x29_t4     c8001000
              40   N   000002b0   00004e09   000002b4   x29_t4     c8000823
              41   N   000002b4   07d29163   000002b6   x28_t3     00000002
              42   N   000002b6   00004281   000002ba   ---        --------
              43   N   000002ba   000002ab   000002bc   x05_t0     00000000
              44   N   000002bc   00004e81   000002c0   x05_t0     00000000
              45   N   000002c0   00004e0d   000002c2   x29_t4     00000000
              46   N   000002c2   05d29a63   000002c4   x28_t3     00000003
              47   N   000002c4   00004295   000002c8   ---        --------
              48   N   000002c8   123452ab   000002ca   x05_t0     00000005
              49   N   000002ca   42955eb7   000002ce   x05_t0     12345005
              51   N   000002ce   00000e95   000002d2   x29_t4     12345000
              52   N   000002d2   00004e11   000002d4   x29_t4     12345005
              53   N   000002d4   05d29163   000002d6   x28_t3     00000004
              54   N   000002d6   4e110293   000002da   ---        --------
              56   N   000002da   05d202ab   000002de   x05_t0     000003c0
              58   N   000002de   3c000e93   000002e2   x05_t0     000003c0
              60   N   000002e2   00004e15   000002e6   x29_t4     000003c0
              61   N   000002e6   03d29863   000002e8   x28_t3     00000005
              62   N   000002e8   020002b7   000002ec   ---        --------
              63   N   000002ec   3c028293   000002f0   x05_t0     02000000
              64   N   000002f0   000002ab   000002f4   x05_t0     020003c0
              65   N   000002f4   3c000e93   000002f8   x05_t0     000003c0
              66   N   000002f8   00004e19   000002fc   x29_t4     000003c0
              67   N   000002fc   01d29d63   000002fe   x28_t3     00000006
              68   N   000002fe   4e190293   00000302   ---        --------
              70   N   00000302   01d2f2ab   00000306   x05_t0     ffffffff
              72   N   00000306   fff00e93   0000030a   x05_t0     ffffffff
              74   N   0000030a   00004e1d   0000030e   x29_t4     ffffffff
              75   N   0000030e   01d29463   00000310   x28_t3     00000007
              76   N   00000310   01c01863   00000314   ---        --------
              77   N   00000314   0ff0000f   00000324   ---        --------
              80   N   00000324   000085f2   00000328   ---        --------
              81   N   00000328   00004501   0000032a   x11_a1     00000007
              82   N   0000032a   00000073   0000032c   x10_a0     00000000
              83   E   0000032c   00000073   000001c0   mstatus    00001800
              83   E   0000032c   00000073   000001c0   mepc       0000032c
              83   E   0000032c   00000073   000001c0   mcause     0000000b
              83   E   0000032c   00000073   000001c0   mtval      00000000
              86   N   000001c0   000047a1   000001c4   x14_a4     0000000b
              87   N   000001c4   02f70263   000001c6   x15_a5     00000008
              88   N   000001c6   000047a5   000001ca   ---        --------
              89   N   000001ca   00f70f63   000001cc   x15_a5     00000009
              90   N   000001cc   000047ad   000001d0   ---        --------
              91   N   000001d0   00f70c63   000001d2   x15_a5     0000000b
              92   N   000001d2   47ad0713   000001ea   ---        --------
              96   N   000001ea   07130013   00000340   ---        --------
              99   N   00000340   db428293   00000344   x05_t0     00000340
             100   N   00000344   00008282   00000348   x05_t0     000000f4
             101   N   00000348   00000013   000000f4   ---        --------
             104   N   000000f4   0000006f   000000f8   ---        --------
             105   N   000000f8   ffffffff   000000f8   ---        --------
